id,i1_overs,i1_limit,i2_overs,i2_limit,is_short,result,pp_i1,pp_i2,full_game,i1_balls,i2_balls
548328,20,balls,17,win,0,i2,6,6,1,120,120
548329,20,balls,17,win,0,i2,6,6,1,120,120
548330,20,balls,20,balls,0,i1,6,6,1,120,120
548331,20,balls,20,win,0,i2,6,6,1,120,120
548332,20,balls,20,win,0,i2,6,6,1,120,120
548333,20,balls,20,balls,0,i1,6,6,1,120,120
548334,20,balls,20,win,0,i2,6,6,1,120,120
548335,20,balls,20,win,0,i2,6,6,1,120,120
548336,20,balls,20,balls,0,i1,6,6,1,120,120
548337,20,balls,16,win,0,i2,6,6,1,120,120
548339,20,balls,20,win,0,i2,6,6,1,120,120
548341,20,balls,20,balls,0,i1,6,6,1,120,120
548342,20,balls,20,balls,0,i1,6,6,1,120,120
548343,20,balls,20,balls,0,i1,6,6,1,120,120
548344,20,balls,20,balls,0,i1,6,6,1,120,120
548345,20,balls,20,balls,0,i1,6,6,1,120,120
548346,19,wickets,19,win,0,i2,6,6,1,120,120
548347,20,balls,20,win,0,i2,6,6,1,120,120
548348,20,balls,20,balls,0,i1,6,6,1,120,120
548349,20,balls,16,win,0,i2,6,6,1,120,120
548350,20,balls,20,win,0,i2,6,6,1,120,120
548351,20,balls,20,balls,0,i1,6,6,1,120,120
548352,20,balls,20,balls,0,i1,6,6,1,120,120
548353,20,balls,20,balls,0,i1,6,6,1,120,120
548354,20,balls,20,balls,0,i1,6,6,1,120,120
548355,20,balls,20,win,0,i2,6,6,1,120,120
548356,20,balls,19,win,0,i2,6,6,1,120,120
548357,20,balls,19,win,0,i2,6,6,1,120,120
548358,20,balls,17,win,0,i2,6,6,1,120,120
548359,20,balls,20,balls,0,i1,6,6,1,120,120
548360,20,balls,18,win,0,i2,6,6,1,120,120
548361,20,balls,19,win,0,i2,6,6,1,120,120
548362,20,balls,20,balls,0,i1,6,6,1,120,120
548363,20,balls,20,balls,0,i1,6,6,1,120,120
548364,20,balls,16,win,0,i2,6,6,1,120,120
548365,20,balls,20,balls,0,i1,6,6,1,120,120
548366,20,balls,20,win,0,i2,6,6,1,120,120
548367,20,balls,20,win,0,i2,6,6,1,120,120
548368,20,balls,20,win,0,i2,6,6,1,120,120
548369,20,balls,19,win,0,i2,6,6,1,120,120
548370,20,balls,20,wickets,0,i1,6,6,1,120,120
548371,20,balls,17,win,0,i2,6,6,1,120,120
548372,20,balls,20,balls,0,i1,6,6,1,120,120
548373,20,balls,19,win,0,i2,6,6,1,120,120
548374,20,balls,19,win,0,i2,6,6,1,120,120
548375,20,balls,20,balls,0,i1,6,6,1,120,120
548376,20,balls,20,balls,0,i1,6,6,1,120,120
548377,20,balls,19,win,0,i2,6,6,1,120,120
548378,20,balls,20,balls,0,i1,6,6,1,120,120
548379,20,balls,20,balls,0,i1,6,6,1,120,120
548380,20,balls,17,wickets,0,i1,6,6,1,120,120
548381,20,balls,20,win,0,i2,6,6,1,120,120
597998,20,wickets,19,win,0,i2,6,6,1,120,120
597999,20,balls,20,balls,0,i1,6,6,1,120,120
598000,20,balls,19,wickets,0,i1,6,6,1,120,120
598001,20,balls,20,balls,0,i1,6,6,1,120,120
598002,20,balls,20,balls,0,i1,6,6,1,120,120
598003,20,balls,13,win,0,i2,6,6,1,120,120
598004,20,balls,20,win,0,i2,6,6,1,120,120
598005,20,balls,19,wickets,0,i1,6,6,1,120,120
598006,20,balls,20,balls,0,i1,6,6,1,120,120
598007,20,wickets,18,win,0,i2,6,6,1,120,120
598008,20,balls,18,win,0,i2,6,6,1,120,120
598009,20,balls,19,win,0,i2,6,6,1,120,120
598010,20,balls,20,win,0,i2,6,6,1,120,120
598011,20,balls,20,balls,0,i1,6,6,1,120,120
598012,20,balls,20,win,0,i2,6,6,1,120,120
598013,20,balls,20,balls,0,i1,6,6,1,120,120
598014,19,wickets,20,win,0,i2,6,6,1,120,120
598015,20,balls,20,balls,0,i1,6,6,1,120,120
598016,20,balls,20,balls,0,i1,6,6,1,120,120
598017,20,balls,20,win,0,i2,6,6,1,120,120
598018,20,balls,19,wickets,0,i1,6,6,1,120,120
598019,20,balls,19,wickets,0,i1,6,6,1,120,120
598020,20,balls,18,wickets,0,i1,6,6,1,120,120
598021,20,balls,19,win,0,i2,6,6,1,120,120
598022,20,balls,20,win,0,i2,6,6,1,120,120
598023,20,wickets,18,win,0,i2,6,6,1,120,120
598024,20,balls,17,win,0,i2,6,6,1,120,120
598025,20,balls,20,win,0,i2,6,6,1,120,120
598026,20,balls,20,win,0,i2,6,6,1,120,120
598027,20,balls,20,balls,0,i1,6,6,1,120,120
598028,20,balls,20,balls,0,i1,6,6,1,120,120
598029,20,balls,20,win,0,i2,6,6,1,120,120
598030,20,balls,20,win,0,i2,6,6,1,120,120
598031,20,balls,19,win,0,i2,6,6,1,120,120
598032,20,balls,18,win,0,i2,6,6,1,120,120
598033,20,balls,20,balls,0,i1,6,6,1,120,120
598034,20,balls,20,balls,0,i1,6,6,1,120,120
598035,20,balls,20,balls,0,i1,6,6,1,120,120
598036,20,balls,20,win,0,i2,6,6,1,120,120
598037,20,balls,20,wickets,0,i1,6,6,1,120,120
598038,20,balls,20,balls,0,i1,6,6,1,120,120
598039,20,balls,18,win,0,i2,6,6,1,120,120
598040,20,balls,18,win,0,i2,6,6,1,120,120
598041,20,balls,20,balls,0,i1,6,6,1,120,120
598042,20,balls,20,balls,0,i1,6,6,1,120,120
598043,20,balls,18,win,0,i2,6,6,1,120,120
598044,20,wickets,14,win,0,i2,6,6,1,120,120
598045,20,balls,19,win,0,i2,6,6,1,120,120
598046,20,balls,16,wickets,0,i1,6,6,1,120,120
598047,20,balls,20,win,0,i2,6,6,1,120,120
598048,20,balls,18,win,0,i2,6,6,1,120,120
598049,20,balls,18,win,0,i2,6,6,1,120,120
598050,20,balls,19,wickets,0,i1,6,6,1,120,120
598051,20,balls,20,balls,0,i1,6,6,1,120,120
598052,20,balls,19,win,0,i2,6,6,1,120,120
598053,20,balls,20,wickets,0,i1,6,6,1,120,120
598054,20,balls,20,balls,0,i1,6,6,1,120,120
598055,20,balls,19,win,0,i2,6,6,1,120,120
598056,20,balls,20,balls,0,i1,6,6,1,120,120
598057,20,balls,20,win,0,i2,6,6,1,120,120
598058,20,balls,18,win,0,i2,6,6,1,120,120
598059,20,balls,17,win,0,i2,6,6,1,120,120
598060,20,balls,20,win,0,i2,6,6,1,120,120
598061,20,balls,20,balls,0,i1,6,6,1,120,120
598062,20,balls,20,balls,0,i1,6,6,1,120,120
598063,20,balls,20,balls,0,i1,6,6,1,120,120
598064,20,balls,18,win,0,i2,6,6,1,120,120
598065,20,balls,20,balls,0,i1,6,6,1,120,120
598066,20,balls,20,balls,0,i1,6,6,1,120,120
598067,20,balls,20,balls,0,i1,6,6,1,120,120
598068,8,balls,8,balls,0,i1,2,2,0,48,48
598069,20,balls,19,win,0,i2,6,6,1,120,120
598070,20,balls,19,wickets,0,i1,6,6,1,120,120
